iter	Passed	Remaining
1530	76876	23549
1531	76914	23496
1532	76956	23443
1533	77003	23392
1534	77046	23339
1535	77092	23288
1536	77176	23248
1537	77260	23208
1538	77313	23158
1539	77353	23105
1540	77395	23052
1541	77445	23002
1542	77487	22949
1543	77521	22894
1544	77560	22841
1545	77602	22788
1546	77641	22735
1547	77760	22705
1548	77818	22657
1549	77858	22604
1550	77902	22552
1551	77951	22501
1552	77992	22448
1553	78032	22395
1554	78075	22343
1555	78124	22292
1556	78169	22240
1557	78215	22189
1558	78278	22142
1559	78360	22101
1560	78416	22053
1561	78464	22002
1562	78503	21948
1563	78547	21896
1564	78590	21844
1565	78632	21792
1566	78671	21738
1567	78717	21687
1568	78758	21634
1569	78882	21604
1570	78952	21559
1571	79009	21511
1572	79052	21459
1573	79098	21407
1574	79135	21354
1575	79179	21302
1576	79224	21250
1577	79272	21199
1578	79317	21147
1579	79388	21103
1580	79458	21058
1581	79514	21009
1582	79557	20957
1583	79596	20904
1584	79630	20849
1585	79667	20795
1586	79711	20744
1587	79756	20692
1588	79798	20640
1589	79843	20588
1590	79903	20540
1591	80021	20508
1592	80075	20458
1593	80117	20406
1594	80164	20355
1595	80210	20303
1596	80255	20252
1597	80303	20201
1598	80343	20148
1599	80381	20095
1600	80427	20044
1601	80489	19996
1602	80572	19954
1603	80687	19920
1604	80758	19875
1605	80798	19822
1606	80840	19769
1607	80885	19718
1608	80926	19665
1609	80974	19615
1610	81084	19579
1611	81171	19537
1612	81215	19485
1613	81255	19432
1614	81298	19380
1615	81337	19327
1616	81378	19275
1617	81421	19223
1618	81469	19172
1619	81512	19120
1620	81552	19067
1621	81623	19022
1622	81683	18974
1623	81744	18926
1624	81788	18874
1625	81832	18822
1626	81872	18769
1627	81929	18720
1628	81969	18668
1629	82010	18615
1630	82054	18564
1631	82094	18511
1632	82215	18477
1633	82294	18433
1634	82336	18380
1635	82382	18329
1636	82422	18277
1637	82472	18226
1638	82520	18175
1639	82571	18125
1640	82616	18073
1641	82665	18023
1642	82749	17980
1643	82816	17933
1644	82880	17886
1645	82926	17834
1646	82969	17782
1647	83012	17730
1648	83059	17679
1649	83096	17626
1650	83137	17574
1651	83183	17522
1652	83260	17478
1653	83365	17439
1654	83417	17389
